feedback_text,sentiment
The course was very interesting and helpful,Positive
Some topics were confusing and hard to follow,Negative
I liked the practical exercises they helped a lot,Positive
Assignments were too challenging for the time given,Negative
Overall a good learning experience,Positive
The teacher explained concepts clearly,Positive
I found some lectures boring,Negative
The pace of the course was manageable,Neutral
More real life examples would be helpful,Neutral
The course content was well structured,Positive
Sometimes it was difficult to understand topics,Negative
The practical sessions were very useful,Positive
I think the course needs improvement in explanation,Negative
The learning materials were good,Positive
It was an average experience,Neutral
The instructor was supportive and helpful,Positive
Too much syllabus in limited time,Negative
The assignments helped me learn better,Positive
I struggled with some concepts,Neutral
Overall I am satisfied with the course,Positive
